Nome;Idade;Peso (kg);Altura (m)
Sarah Cardoso;26/03/2003;52.77;1.84
Sra. Melissa Pereira;13/11/1981;73.21;1.82
Jo∆o Rodrigues;13/02/1924;83.15;2.03
Marcelo Ramos;11/05/1914;46.94;1.92
Luiz Miguel Melo;20/11/2024;96.59;1.52
Jo∆o Felipe Monteiro;24/08/1987;87.3;1.91
Melissa Cardoso;25/07/1912;98.27;2.03
Elisa Teixeira;18/06/1996;41.73;1.83
Davi Castro;18/01/1988;120.73;1.74
Luiza Gonáalves;31/07/1919;127.45;1.78
Ana Laura da Conceiá∆o;16/05/1923;67.23;2.01
Enzo Gabriel Santos;03/08/1905;74.4;1.59
Maria Clara Lopes;25/03/1987;103.03;1.74
Cau∆ Viana;02/01/1980;100.46;1.7
Sra. Lara Dias;04/07/1967;75.42;1.45
Danilo Monteiro;20/03/1997;124.55;1.97
Brenda da Rocha;16/09/2021;123.69;1.67
Lucas Santos;17/10/1938;110.33;1.89
Fernando Correia;24/08/2004;99.58;1.64
Pedro Miguel Lima;06/02/2015;67.6;1.8
Al°cia Vieira;13/08/2020;86.85;2.02
Enrico Lopes;05/10/2011;58.28;2.05
Yago Correia;25/06/1994;111.06;1.71
Pietro Costa;03/06/1927;139.24;1.9
Helena Pires;30/10/1941;50.51;1.91
Srta. Emanuelly Gonáalves;03/07/1919;131.3;1.89
Isabella da Luz;06/05/2022;132.87;1.98
Maria Sophia Cardoso;11/07/1968;100.68;1.66
Ot†vio Arag∆o;09/10/1903;137.99;1.52
Ana Luiza Azevedo;18/06/1927;40.74;1.92
Miguel Azevedo;25/03/2004;106.18;1.45
Lucas Gabriel Silva;15/11/1996;141.93;1.96
Daniela Novaes;26/12/1907;136.28;1.5
Enrico Campos;26/11/1938;117.33;1.98
Emanuel Barros;07/05/1976;88.3;1.7
Arthur Martins;16/06/1964;141.81;1.73
Vicente Campos;29/09/1917;89.23;1.86
Fernanda da Conceiá∆o;23/06/1937;104.9;2.02
Marcelo Rezende;17/06/2021;129.93;1.61
Manuela Duarte;20/06/1922;61.29;1.86
Marcos Vinicius da Cruz;17/05/1932;115.4;1.76
Srta. Camila Santos;10/07/1966;65.61;2.08
Kaique da Cruz;17/09/1969;105.4;1.9
Ana Luiza Martins;08/06/1955;81.99;1.94
Enzo Ara£jo;16/07/1936;94.89;1.49
Luiz Henrique Barros;12/05/1936;127.92;1.52
Vitor Hugo Novaes;24/08/1946;144.8;1.81
Leonardo Alves;20/07/2015;46.1;1.95
Fernanda Barbosa;05/12/1974;117.69;1.77
Fernanda da Paz;18/11/2018;74.63;1.68
Ana Jesus;16/03/2024;68.59;1.87
Nathan Rocha;06/04/1955;144.99;1.87
Bernardo Correia;30/09/2011;102.14;1.55
Noah Fogaáa;11/08/2015;46.24;1.9
Danilo Almeida;29/09/1915;63.64;1.81
Vitor da Luz;30/09/2002;96.17;1.94
Amanda Oliveira;14/02/1988;78.13;1.5
Mariane Ara£jo;28/05/1941;78.9;2.01
Maria Clara Rezende;18/11/1987;81.82;1.49
Vitor Pinto;02/01/2014;106.46;1.78
Sra. Ana J£lia Correia;19/10/1913;95.43;1.76
Leonardo da Paz;22/06/1993;146.67;2.09
Esther da Rosa;24/10/1979;71.02;1.66
Noah Duarte;12/03/1940;65.02;1.91
Isabelly Farias;20/01/1930;139.5;1.91
Ot†vio Costela;03/04/1956;78.89;1.97
Amanda Souza;08/12/1942;63.94;1.53
Cau∆ da Rosa;28/12/2000;59.11;1.99
Srta. Maria Eduarda da Luz;23/02/2018;135.36;1.9
Juliana Fernandes;06/12/1930;136.31;1.57
Isabelly Viana;23/10/1924;58.82;1.51
Caio da Paz;21/02/1954;101.14;1.49
Ana Clara Ferreira;03/07/1939;84.57;1.51
Olivia Duarte;23/02/2006;104.56;1.61
Dra. Maità Barbosa;14/03/1912;118.13;1.76
Thiago da Mata;26/04/1961;73.56;1.47
Maria Luiza Sales;03/04/1938;127.81;1.9
Ryan Peixoto;01/06/1960;111.75;1.68
Bernardo Barbosa;12/03/1984;132.65;2.01
Luiz Miguel Barbosa;24/09/2023;56.25;1.88
Marcos Vinicius Monteiro;13/03/1949;80.83;1.8
Guilherme Pereira;26/04/1980;67.99;1.53
Helo°sa Gonáalves;05/10/1946;116.91;2.01
Maria Eduarda da Costa;01/08/1910;98.3;2.04
Julia Monteiro;18/04/2024;140.16;1.76
Maria Monteiro;15/03/1974;122.71;2.08
Yago Farias;20/05/1935;82.25;1.44
Nathan Cunha;08/04/1976;49.52;1.63
Isabella Costela;22/01/1966;78.62;1.7
Yasmin Campos;23/05/1966;148.47;1.82
J£lia Teixeira;01/03/1956;82.6;1.44
Theo Rezende;12/05/1995;64.58;1.69
Paulo Monteiro;13/10/1964;83.88;1.75
Luiza Pires;19/05/2013;106.17;1.81
Agatha da Costa;25/08/2018;140.23;1.45
Pietro Correia;16/08/2005;131.59;1.86
Carolina da Rosa;17/05/1988;108.6;1.9
Clarice Souza;27/08/1929;73.81;1.68
Helo°sa Lopes;04/03/1947;78.42;1.51
Dra. Let°cia Martins;23/04/1997;53;1.84
Sofia Cunha;15/05/1911;100.79;1.48
Dra. Lara Rodrigues;21/07/2010;45.2;1.61
Cauà Moreira;23/06/1947;80.81;1.67
Enzo Gabriel da Cunha;31/07/1915;133.4;1.63
Pietra Castro;08/04/1984;137.16;1.95
Thomas Nunes;27/08/2005;76.7;1.5
Sra. Joana Costa;24/06/2014;44.38;1.89
Leandro Gomes;15/05/1931;52.7;2
Jo∆o Gabriel Silveira;07/09/1920;126;1.44
Yago Oliveira;29/10/1927;74.5;1.56
Lara da Luz;03/03/2014;98.66;1.97
Sra. Marina Costa;11/02/2007;51.43;1.76
Dra. Lav°nia Pereira;14/11/1938;101.18;2.01
Maria Vit¢ria da Mata;13/11/1920;115.92;1.9
Srta. Isabella Pereira;13/11/1986;128.6;1.52
Dra. Clarice da Mata;18/04/1986;109.92;1.53
Vitor Castro;27/04/1901;135.92;2.06
Giovanna Cardoso;07/11/1914;106.01;2.09
Alexia Novaes;26/08/1906;148.94;1.91
Isabel Fernandes;12/10/1994;134.18;1.45
Cec°lia Cavalcanti;21/03/1957;52.02;2.02
Ana Beatriz Moura;14/09/1904;127.86;1.46
Diego da Rocha;22/08/1901;63.74;2.07
Emilly Mendes;06/06/1973;87.02;1.8
Luiz Felipe Santos;18/07/1962;42.69;1.72
Breno Nascimento;15/09/1903;67.98;1.89
Luiz Miguel Novaes;21/01/1966;66.19;1.46
Maria Julia Fogaáa;19/05/1905;125.26;1.71
Davi Porto;26/04/1935;142.44;1.85
Henrique Dias;18/04/1900;112.03;1.42
Maria Sophia Costela;28/10/1980;77.34;1.91
Daniel Jesus;27/09/1904;81.11;1.89
Daniel Cardoso;20/04/1938;92;1.61
Diogo Santos;13/03/2019;54.67;1.66
Rafael Gonáalves;16/06/1938;66.28;1.55
Isabel Gomes;26/09/1942;82.1;1.88
Enzo Santos;28/11/2015;114.25;1.42
Noah Silveira;23/09/1956;106.57;2.08
Milena Souza;25/07/1912;100.57;1.69
Yasmin Ara£jo;30/05/1908;118.28;1.89
Lorenzo Martins;30/01/1923;110.41;1.98
Pedro Henrique Nascimento;18/09/1923;118.81;1.95
Gustavo Henrique Rocha;01/11/1953;122.04;1.94
Marcos Vinicius Oliveira;25/12/1949;94.6;1.95
B†rbara Santos;13/11/1903;111.97;1.65
B†rbara Ara£jo;21/01/2000;140.13;1.55
Jo∆o Miguel Martins;10/03/1980;129.53;1.98
Ryan da Costa;16/11/2011;97.64;1.72
Heitor Castro;02/03/1946;44.68;1.83
Gabrielly Moura;16/10/1922;109.75;1.75
Ben°cio Moreira;06/01/1938;69.04;2.03
Sophie Correia;29/11/1949;125.94;1.42
Ian Monteiro;24/10/1918;109.97;1.41
Cau∆ Monteiro;16/03/1901;45.79;1.45
Isabel Almeida;23/01/1942;145.62;1.73
Ana Vit¢ria Melo;12/03/2014;134.46;1.64
Sabrina da Cunha;13/08/1965;100.61;2.07
Ana L°via da Cruz;29/01/1932;120.5;1.8
Ana Carolina Correia;20/02/1993;121.55;1.91
Rodrigo Rezende;06/06/1944;105.19;1.9
Bianca da Luz;08/06/1912;128.73;1.96
Davi Costela;30/08/1912;75.62;1.87
Yago Nascimento;16/08/1911;109.88;1.93
Larissa Carvalho;12/09/1965;112.59;1.45
Isis Pinto;19/02/1997;96.07;1.94
Lav°nia da Costa;08/01/1982;101.99;1.79
Mirella Moura;13/06/1991;101.5;2.09
Isaac Correia;29/01/1954;146.45;1.66
Marcela Oliveira;21/10/1993;68.28;1.99
Leonardo Monteiro;03/02/1968;42.05;1.41
Rafaela Monteiro;18/11/1983;77.51;1.74
J£lia Pires;19/07/1915;129.67;1.82
Ana Laura Arag∆o;09/08/1916;118.59;2.06
Davi Lucca Moreira;15/01/1936;137.11;1.79
Ben°cio da Paz;08/07/1910;97.49;1.64
Erick Cunha;15/03/1996;67.92;2
Dra. Raquel Viana;26/07/2009;79.69;1.8
Emanuel Mendes;25/08/1974;56.17;1.6
Danilo Porto;06/03/2001;146.85;1.78
Lucas Gabriel Vieira;08/03/2008;120.09;1.84
Mirella Nogueira;25/02/2016;122.59;1.83
Amanda Azevedo;21/03/1968;86.45;1.41
Clarice Mendes;24/02/1955;43.85;1.71
Gabriela Caldeira;16/11/1977;52.38;2.03
Diego Freitas;13/06/2013;131;2.09
Jo∆o Fernandes;21/11/1961;103.4;1.47
Srta. Kamilly Melo;22/05/1955;118.03;1.7
Ot†vio da Mata;11/04/1944;55.52;1.9
Alice da Rocha;12/10/1934;67.77;1.9
Igor Mendes;01/05/1962;132.54;1.97
Luiz Ot†vio Ramos;18/08/1986;89.8;1.58
Igor Rocha;08/05/1945;41.81;1.52
Olivia Rodrigues;06/11/1989;58.39;1.69
Bernardo Nogueira;11/04/1951;76.35;1.63
Enzo da Costa;05/03/2010;43.72;1.78
Davi Lucas da Paz;18/06/1949;117.04;1.65
Stephany da Paz;19/10/1918;144.88;1.45
Caio da Luz;27/10/2013;80.54;1.78
Valentina Viana;01/01/1946;125.52;1.81
Maria Luiza da Paz;18/09/1908;88.65;1.96
Luiz Felipe Ribeiro;08/01/2006;96.29;2.03
Joana das Neves;15/08/1996;83.26;1.93
Eduardo Ramos;22/06/1933;72.99;1.74
Maità Costa;02/04/2013;41.71;1.79
Marcos Vinicius Cardoso;21/12/1950;135.41;1.49
Levi da Mota;15/04/1914;126.55;1.93
Luiz Gustavo Correia;30/12/1941;106.22;1.58
Luigi das Neves;22/04/1964;43.34;1.77
Jo∆o Miguel Carvalho;07/03/2004;59.68;1.68
Ana Vit¢ria Pires;29/03/1949;115.54;1.85
Maysa Costela;06/04/1920;117.31;1.76
Helo°sa Santos;17/08/2018;116.37;1.95
Ot†vio Cardoso;09/02/1940;130.05;1.98
L°via da Cruz;26/11/1916;137.86;1.92
Murilo Pinto;17/05/1923;78.65;1.98
Lucas Gabriel Dias;08/12/1930;73.82;1.42
Fernando Barros;04/02/2020;77.25;1.85
Samuel Ribeiro;24/05/1973;103.4;1.75
Bernardo da Cunha;01/06/1911;108.45;2.02
Isaac Pinto;10/05/1925;85.22;1.94
Pietro da Cunha;05/05/1959;123.01;1.4
Maria Clara Almeida;21/04/1907;75.78;1.89
Sophie Arag∆o;11/02/1921;120.66;1.87
Davi Dias;15/07/1997;70.39;1.86
Ana Julia Alves;26/07/1905;142.59;1.48
Bruno Santos;24/09/2024;71.21;1.78
Lorena da Paz;01/11/2000;41.2;1.46
Heitor Farias;26/08/1992;84.53;1.66
Jo∆o Miguel Ramos;29/10/1973;147.41;1.42
Antìnio Barbosa;30/06/1996;135.46;1.64
Jo∆o Castro;08/02/2012;50.45;1.82
Rodrigo Oliveira;25/01/1969;111.38;1.78
Gabriela Martins;12/09/1935;80.33;1.74
Jo∆o Lucas Fogaáa;22/07/1935;113.47;1.78
Bernardo da Paz;23/05/2020;125.47;1.89
Isabella Lima;01/08/1933;59.1;1.85
Fernanda Moreira;08/08/1900;59.84;1.71
Kevin Fernandes;17/07/1984;128.62;1.43
Daniel Teixeira;29/05/1958;142.89;1.85
Enzo Azevedo;12/02/1944;50.08;2.01
Leandro Dias;18/07/1971;58.46;1.78
Srta. Mirella Gonáalves;01/12/2007;55.58;1.78
Beatriz Sales;10/04/1950;122.39;1.47
Srta. B†rbara Fernandes;12/05/1984;75.89;1.66
Dra. Luiza das Neves;26/03/1955;70.43;1.99
Daniel da Costa;30/10/1930;40.28;1.84
Juan Lopes;27/03/1940;76.22;1.53
Srta. Nicole Cardoso;22/05/1983;46.46;2.05
Yago Silveira;25/03/1963;125.55;1.95
Marcelo Rezende;22/11/1966;57.62;1.98
Lav°nia Arag∆o;26/02/1949;52.16;1.75
Luiz Gustavo Gonáalves;28/09/1917;142.08;1.71
Sophia da Conceiá∆o;05/01/2001;134.89;1.43
Dra. Stella Pinto;13/07/1986;77.39;1.6
Luana Lopes;08/07/2012;59.23;1.94
Fernanda Rocha;06/03/1964;92.08;1.72
B†rbara Jesus;05/05/1977;140.27;1.82
Maria Sophia da Conceiá∆o;07/09/1953;103.25;2.04
Paulo Gomes;11/09/1962;103.34;1.45
Sra. Agatha Fogaáa;06/09/1962;67.2;2.04
Al°cia Lima;05/02/2022;107.8;1.83
Maria Sophia Lima;09/03/1960;136.5;1.57
Jo∆o Lucas Rocha;07/02/2003;89.89;1.5
Rafaela Azevedo;05/11/1958;98.11;1.85
Srta. Mariane Novaes;18/08/1955;147.85;1.88
Dra. Helo°sa Cardoso;17/10/1984;95.11;1.98
Jo∆o Vitor da Costa;10/07/1950;63.44;1.67
Benjamin Moreira;12/05/1982;121.17;1.52
Paulo Ramos;08/02/1931;44.69;1.62
Maria Luiza Rodrigues;18/01/1911;68.43;1.59
Vitor Hugo Souza;27/09/1938;44.46;1.98
Manuela Mendes;11/01/2014;121.84;1.59
Maria Sophia Rezende;01/02/1908;128.74;2.02
Murilo Santos;22/03/1950;76.8;2.05
Lorenzo Gonáalves;06/07/1910;120.6;1.42
Isabelly da Luz;22/02/2008;120.76;1.62
Davi Nunes;21/06/1991;72.43;2.08
Stella da Cruz;30/05/1937;90.33;1.75
Pedro da Cunha;07/06/1920;79.86;1.5
Erick Cunha;09/05/1933;123.41;1.55
Maria Luiza Teixeira;24/12/1975;103.62;2
Ana Luiza Fogaáa;01/10/1957;87.57;1.71
Ryan Mendes;12/05/2005;135.22;1.58
Ana Carolina da Rosa;29/11/1964;44;1.56
Srta. Luana Vieira;08/01/1925;56.84;1.5
Davi Lucca da Paz;08/03/1903;87.01;1.94
Lucca Cardoso;03/01/1986;77.3;1.72
Yasmin Moura;27/08/1922;56.81;1.56
Let°cia Cardoso;11/03/2023;103.82;2.04
Stephany da Rosa;19/04/2001;148.33;2.02
Igor Carvalho;07/04/1998;78.52;1.96
Sra. Gabriela Vieira;28/12/1901;139.17;1.67
Srta. Emanuella da Luz;31/03/1998;104.48;1.62
Yuri da Rocha;07/05/1995;113.78;2.08
Thomas da Rocha;06/05/1937;129.46;2.01
Kamilly Cardoso;08/05/1948;119.56;1.81
Marcela Melo;12/05/1957;120.26;1.48
Lucas Gabriel Silva;24/06/2005;96.38;1.92
Matheus Costela;17/10/1978;120.02;1.75
Agatha Sales;02/10/1998;69.56;1.96
Ben°cio Lima;14/08/1900;119.54;1.69
Luiz Henrique Almeida;21/09/1948;104.61;1.69
Sra. Maria Fernanda Costa;29/10/1942;123.84;1.45
Enzo Martins;04/12/1954;85.19;1.44
Dra. Nina Alves;03/04/1911;45.67;1.58
Stella Ribeiro;15/06/2015;40.92;1.43
Fernando Farias;16/11/1950;109.51;1.73
Joana Arag∆o;15/04/1929;50.95;1.67
Pietro Farias;05/06/1966;80.8;1.64
Sra. Beatriz da Cruz;14/01/2002;100.76;1.76
Alice Pires;22/10/1937;68.28;1.89
Mariana da Rosa;15/12/2014;78.43;1.42
Thiago Alves;07/03/1994;47.5;2.07
Al°cia da Mata;13/09/1984;104.36;1.79
Valentina Melo;05/08/1925;88.16;1.6
Lara Barros;08/10/1941;136.39;1.95
Emanuel Gomes;12/10/2004;138.5;1.87
Sophie Campos;30/09/1990;52.7;1.88
Ana Vit¢ria Viana;09/03/1907;89.78;1.83
Jo∆o Gabriel Correia;14/01/1959;78.63;1.58
Jo∆o Lucas Costa;11/11/2023;121.1;2.06
Marcela Pereira;20/12/1905;65.04;2.09
Rafael Moreira;29/10/1978;122.3;1.93
Bianca Pires;07/02/1943;138.52;2.08
Arthur Moraes;06/11/1933;130.06;1.71
Thiago Cardoso;18/06/1903;104.01;1.94
Daniel Carvalho;12/12/1957;41.16;2.03
Ot†vio da Cunha;15/05/1911;75.23;1.58
Thiago Duarte;30/11/1996;80.06;1.61
Daniel Cunha;30/06/2021;75.47;2.04
Davi Lucca Moraes;14/05/1985;135.83;1.93
Emanuella Silva;09/02/1939;42.67;2.1
Marina Alves;27/03/1954;92.95;1.92
Bryan da Mota;23/01/1928;54.04;1.62
Raquel Lima;08/06/1924;71.66;1.95
Yago Lopes;10/03/1917;93.89;1.68
Gabrielly Gonáalves;25/07/2005;136.34;1.42
Marina da Paz;23/07/1910;85.27;2.03
Pedro Lucas Campos;07/12/1914;110.06;1.77
Luiz Felipe Ramos;08/12/1934;99.85;1.63
Kaique Rocha;18/02/1930;99.96;2.02
Vinicius Pinto;26/04/1933;130.67;1.98
Maria Vit¢ria Ramos;27/06/2013;77.99;1.56
Davi Correia;07/09/1971;110.35;1.9
Ana Laura Jesus;03/09/1916;107.39;1.99
Catarina Almeida;25/07/2014;52.32;1.65
Helena da Mota;12/02/1948;94.64;2.08
Ana Carolina da Paz;16/05/1934;74.89;1.68
Al°cia Almeida;25/02/2024;94.56;1.7
L°via da Costa;05/03/1970;137.78;1.54
Srta. Maria Vit¢ria Melo;07/05/1932;42.72;1.59
Nicole Cunha;23/05/1985;126.62;2.04
Eduardo Silva;10/11/1954;117.45;1.43
Carlos Eduardo Pereira;12/12/1939;141.77;1.64
Enzo Melo;22/05/1901;88.17;1.91
Diego Martins;28/11/1984;46.01;1.79
Caroline Silveira;24/08/1923;42.76;1.67
Thiago Lopes;28/02/1932;109.27;1.58
Henrique Monteiro;24/01/1901;131.56;1.98
Camila da Cruz;26/06/1966;80.49;1.74
Maria Sophia Souza;11/06/1928;115.4;1.91
Kaique Moreira;07/11/1938;66.77;1.54
Breno Arag∆o;12/04/1965;115.88;2.02
Luiz Gustavo Rocha;22/08/2004;114.44;1.96
Laura Nascimento;24/09/1972;90.73;1.83
Ana Julia Dias;18/11/1991;46.42;1.57
Mirella Rezende;13/03/1945;133.05;1.56
Benjamin Ara£jo;17/06/1945;59.01;1.58
Gabrielly Rezende;02/02/1958;51.53;1.79
Jo∆o Miguel Barros;20/07/1965;48.79;1.82
Marcelo Arag∆o;04/08/1998;129.19;1.7
Ana Laura Lima;28/08/1980;140.01;1.92
Yasmin Freitas;07/02/1940;96.09;1.63
Ana Carolina Campos;07/12/2000;61.28;1.41
Sra. Sophia das Neves;26/05/2011;75.01;1.81
Paulo Silveira;15/07/1910;40.85;1.68
Danilo Martins;03/08/1931;73.48;1.67
Pietra Souza;07/02/2000;73.99;1.73
Jo∆o Pedro Gonáalves;17/12/1948;111.3;1.97
Pietro Pinto;05/02/2000;64.19;2.01
Helena Oliveira;22/04/2002;76.74;1.84
Maità da Mata;12/05/2004;97;2.02
Fernando Rodrigues;21/10/1922;74.71;2.03
Pedro Henrique Gomes;24/12/1956;75.08;1.6
Milena da Luz;03/06/1926;89.21;1.47
Mariane Jesus;22/09/1994;107.39;1.77
Thiago Nascimento;04/12/2023;57.26;1.81
Diogo da Luz;04/03/1930;133.26;1.9
Isis Castro;01/06/2011;52.79;1.91
Gabrielly da Rosa;04/01/1920;67.42;1.56
Augusto Barros;25/04/1945;146.17;1.92
Emanuel Ara£jo;31/10/1933;118.93;2.02
Clara Viana;06/08/1966;51.24;1.64
Felipe Souza;05/01/2020;90.2;1.59
Dra. Nicole da Cunha;21/12/1957;55.59;1.57
Let°cia Fernandes;11/01/2011;130.41;1.44
Clarice Azevedo;01/03/1934;113.34;1.83
Isabelly Pinto;30/05/2011;144.44;1.97
Anthony Freitas;22/10/1936;49.72;1.89
Isabel Cunha;26/11/1949;138.2;1.61
Maria Alice Rodrigues;19/05/2000;45.28;1.44
Lara da Paz;30/07/1999;120.88;1.73
Beatriz Nascimento;20/06/1995;101.04;1.56
Brenda Costa;10/12/1981;131.65;1.71
Al°cia Alves;12/10/2023;49.38;1.84
Maria Vit¢ria Nogueira;27/10/1984;146.94;2.07
Sra. Sophie Castro;06/09/1918;111.57;1.43
Joaquim da Conceiá∆o;09/03/1973;136.77;1.76
Daniela Cavalcanti;15/01/1900;51.53;1.49
Bruna Fogaáa;10/07/1933;77.94;1.62
Luiza Souza;17/10/1916;116.57;1.99
Beatriz da Costa;19/03/2001;139.23;1.66
Kamilly da Costa;12/11/1960;52.55;1.86
Bruna Freitas;11/12/2009;118.31;1.49
Juliana Silveira;16/12/2024;118.84;1.58
Vit¢ria Fernandes;07/10/2008;45.96;1.69
Pietro da Conceiá∆o;23/07/1939;108.27;1.89
Emanuelly Pinto;29/07/1946;99.15;1.71
Ana Julia Moraes;06/11/1944;51;1.41
Ana Luiza Ara£jo;25/03/1913;139.24;1.95
Eloah Mendes;18/02/1957;131.13;1.95
Bruno Sales;18/11/1956;86.29;1.44
Maria Vit¢ria Fogaáa;18/05/1910;144.01;1.88
Fernando Carvalho;26/11/2011;106.51;1.79
Diogo Caldeira;26/03/1967;122.36;1.79
Maria Eduarda da Costa;25/10/1929;124.94;1.47
Nathan Lopes;25/04/1900;69.11;1.4
Enzo Gabriel Silveira;12/08/1912;48.24;1.68
Luiz Gustavo Novaes;28/03/1901;129.94;1.51
Alexandre Gomes;14/10/1903;110.81;2.01
Luiz Gustavo Ferreira;20/09/2015;119.51;1.81
Dra. Bianca Barros;26/01/1915;81.57;2.02
Ana Beatriz Costela;27/05/2017;56.95;1.64
Leandro Silva;24/01/2014;137.6;2.1
Pietra Cardoso;07/04/1916;85.77;1.79
Isabelly Teixeira;12/02/1983;48.38;1.46
Emanuelly Gonáalves;08/01/1949;53.57;1.88
Ot†vio Gonáalves;18/06/1993;125.66;1.92
Rafaela da Conceiá∆o;25/03/2008;139.73;1.73
Yasmin Farias;15/08/1923;132.17;1.49
Thomas Barros;10/03/2004;125.16;1.83
Isabella Fogaáa;12/04/2019;147.15;1.98
Vitor Hugo da Cruz;16/12/1930;121.25;1.99
Ana Beatriz Fernandes;23/11/1978;139.43;1.95
Stella Jesus;02/07/1914;101.88;2.06
Felipe Ferreira;27/06/2004;73.9;1.6
Luiza Cardoso;14/03/1909;122.37;1.81
Maità da Luz;01/11/1938;52.17;2.03
Raquel Fogaáa;31/12/1914;75.09;1.69
Esther Alves;12/02/1961;71.8;1.88
Enrico da Mata;02/11/1959;73.33;1.85
Ana Julia Jesus;27/02/1989;87.15;2
Isabelly Ribeiro;25/10/1970;124.03;1.6
Theo Jesus;19/04/2015;100.14;1.46
Sophie Campos;15/11/1984;135.75;2.04
Henrique Rezende;03/11/1947;91.53;1.72
Catarina da Paz;20/07/2023;146.89;1.75
Levi Souza;08/09/1925;96.96;2
Bruna Correia;12/06/1960;76.92;1.95
Leonardo Melo;24/08/1906;63.67;2
Danilo Dias;04/10/1951;97.24;1.6
Emanuelly Nunes;19/01/1953;80.2;1.9
Pietro Pinto;02/11/1962;93.35;1.66
Renan Rodrigues;15/06/1920;121.76;2.07
Dra. Evelyn Monteiro;25/09/1915;81.98;1.69
Luiz Ot†vio Mendes;21/12/1907;76.77;1.51
Maria Clara Correia;23/12/1916;112.32;1.41
Thomas Novaes;24/05/1952;64.42;1.82
Carolina Gonáalves;22/09/1912;41.72;1.56
Vicente Alves;13/02/1992;105.59;1.45
Luiz Henrique Rodrigues;14/05/2007;123.2;1.86
Vitor Cardoso;17/01/2005;75.76;1.43
Isadora Ribeiro;04/06/1937;65.72;1.67
Srta. Laura Pereira;07/10/1947;92.01;1.74
Caio Martins;11/09/1957;99.36;1.9
Sophie Nogueira;24/09/1946;121.58;1.76
Nat†lia Peixoto;19/03/1970;125.04;1.56
Gabriel Souza;08/08/2009;81;1.74
Dra. Al°cia Ramos;11/01/1920;130.86;1.41
Esther das Neves;19/06/2010;103.28;1.9
Elisa Vieira;12/10/1943;76.32;1.55
Sra. Luana da Rosa;01/09/2013;128.39;1.49
Sra. Raquel Pinto;09/05/1990;45.66;1.41
Luana Vieira;29/03/1995;70.73;1.67
Gustavo Sales;05/01/2002;106.06;1.62
Yasmin Jesus;18/04/1974;99.14;1.62
Jo∆o Ramos;12/04/1917;68.51;1.55
Srta. Milena Sales;09/04/1913;145.94;1.95
Luiz Felipe Moura;26/11/1993;136.06;1.95
Beatriz Porto;02/09/1935;139.64;1.75
Helo°sa Nascimento;26/11/1976;69;1.78
Benjamin da Mata;09/04/1934;140.72;1.73
Thomas Barbosa;23/10/1955;109.27;1.78
Antìnio Nascimento;02/04/2013;113.63;2.03
AndrÇ da Paz;27/01/1940;114.22;1.76
Davi da Luz;06/03/1912;95.48;2.08
Joaquim Fogaáa;28/08/1908;143.51;1.79
Nicolas Nunes;15/10/1933;89.1;1.74
Elisa Santos;24/11/1948;63.24;1.75
Jo∆o Lucas Monteiro;29/05/1922;119.31;1.52
Ian Almeida;30/07/2014;70.65;1.89
Levi Arag∆o;22/05/1972;86.74;1.83
Maria Vit¢ria Peixoto;22/02/1937;43.61;1.66
Marcela Jesus;31/01/1930;101.99;1.93
Thiago Oliveira;10/08/1963;68.49;1.56
Luiz Fernando Duarte;14/08/1908;78.53;1.62
Clarice da Rocha;11/02/1913;78.72;2.05
Emanuelly Silveira;11/04/1982;87.18;1.51
Daniela Oliveira;29/05/1938;136.89;1.62
Dra. Bruna Ferreira;06/12/1917;126.01;1.51
Carlos Eduardo Arag∆o;03/02/1946;54.06;1.93
Ana Julia Moraes;23/04/1968;113.28;2.03
Sra. Manuela Teixeira;15/09/2023;145.41;1.83
Theo das Neves;13/03/1904;107.14;1.92
Juan Lopes;10/03/1936;51.86;1.46
Henrique Vieira;04/04/1918;119.2;2.03
Levi Rodrigues;12/06/2009;75.95;1.63
Gustavo Campos;12/05/2006;66.62;1.6
Jo∆o Miguel Martins;02/07/1919;137.12;1.98
Olivia Silveira;10/01/1966;58.15;1.55
Maria Clara Santos;22/07/1959;84.04;1.87
Valentina Ramos;29/05/1983;94.3;1.95
Evelyn Nunes;25/01/1992;102.74;1.74
Srta. Ana Laura Melo;29/04/1907;139.41;2.01
Olivia Almeida;04/05/1920;145.51;1.92
Antìnio Moraes;09/01/1977;144.35;1.7
Clarice da Costa;17/01/1911;59.23;1.68
Fernando Jesus;02/02/1917;113.49;1.42
Sra. Carolina Barbosa;29/12/1961;84.02;1.54
Leandro da Cruz;24/11/1922;92.97;1.69
Benjamin Campos;21/02/1970;61.98;1.72
Jo∆o Gabriel da Cunha;13/05/1908;111.89;1.97
Ana Clara da Paz;08/10/1922;133.27;1.98
Nicolas Oliveira;05/11/1900;79.61;1.75
Carolina da Costa;31/07/1992;98.38;1.66
Marcelo Nunes;07/09/1940;100.71;2.04
Luiz Henrique Melo;18/09/2013;129.39;1.96
Juliana da Costa;16/02/1962;128.57;1.53
Alana da Luz;29/12/2012;45.8;1.97
Catarina Cardoso;23/11/1977;131.39;1.74
Vitor Hugo Azevedo;16/12/1915;104.55;1.62
Luiz Fernando Farias;05/11/1983;114.21;2.03
Vitor Gabriel Rodrigues;01/09/1928;128.2;2.01
Let°cia Rezende;13/09/1972;125.12;1.97
Thiago Vieira;19/10/1965;113.78;2.04
Eloah Barros;24/09/1991;135.55;1.98
Isabella Rocha;29/07/1981;88.82;1.54
